exp_id,model,batch_size,lr,weight_decay,dropout,seed,unique_id,duration,total_energy_J,accuracy_0,accuracy,precision_0,precision,recall_0,recall,specificity_0,specificity,epochs,optimizer,test_accuracy,Pg_0,Pg,EDP,EDPinv,EDPinv_per_epoch,EEDP,EEDPinv,EEDP2,EEDPinv2,FLOPS,FLOPS_,FPJ,n_samples,rate,tot_samples,SPJ,Eg,Eg2,Eg3
3373,vit_b_16,128,0.03,0.0,0.05,3,3373_vit_b_16,2089.468834263971,430032.29287628375,0.7478,0.8801,0.7542447512768996,0.8799302811432067,0.7492526867678561,0.8795704948264378,0.997452522915619,0.9987888877778854,10,SGD,0.8785,0.4215201106645154,0.6803378587128398,898539073.6920712,1.1129176563140752e-09,1.1129176563140751e-10,89853907.36920713,1.112917656314075e-08,8985390.736920713,1.1129176563140752e-06,17262805008,172628050080,401430.43427127803,,,,,,,
3362,vit_b_16,128,0.03,0.0,0.1,2,3362_vit_b_16,2094.2352770189755,430285.1165145231,0.6923,0.8757,0.7042399977213172,0.8760092478813455,0.6925017074016264,0.875889440885545,0.9968919164896224,0.9987444433528112,10,SGD,0.874,0.3365766178385385,0.6710698197280683,901118270.1809344,1.1097322439142324e-09,1.1097322439142324e-10,90111827.01809345,1.1097322439142324e-08,9011182.701809345,1.1097322439142324e-06,17262805008,172628050080,401194.56484657055,,,,,,,
3001,vit_b_32,256,0.03,0.0,0.0,1,3001_vit_b_32,895.1575696889777,148899.07334088863,0.6779,0.862,0.6843886482401781,0.8601695799800805,0.6765564442915951,0.8604744954497313,0.9967464621639234,0.9986060595424444,10,SGD,0.8641,0.3128651351918997,0.637123383594145,133288132.62077071,7.502543402308622e-09,7.502543402308622e-10,13328813.262077069,7.502543402308624e-08,1332881.326207707,7.5025434023086235e-06,4398947904,43989479040,295431.5164829183,,,,,,,
3002,vit_b_32,256,0.03,0.0,0.0,2,3002_vit_b_32,905.8200193920638,150124.34698453403,0.6693,0.858,0.6831404874827055,0.8585865156423784,0.6713543376881955,0.8580676256189378,0.9966595930553074,0.9985656553185778,10,SGD,0.8659,0.3059352368948133,0.6312036372300528,135985638.89675152,7.353717702199864e-09,7.353717702199863e-10,13598563.889675152,7.353717702199864e-08,1359856.3889675152,7.353717702199864e-06,4398947904,43989479040,293020.28567379445,,,,,,,
3003,vit_b_32,256,0.03,0.0,0.0,3,3003_vit_b_32,912.9870110299672,151140.7620918072,0.6681,0.8621,0.6819368232356406,0.862006562887742,0.6698189381841992,0.8618386503201246,0.9966474716720616,0.998607069429278,10,SGD,0.8612,0.3041477483571119,0.6395710839699946,137989552.62699044,7.246925444444134e-09,7.246925444444135e-10,13798955.262699043,7.246925444444134e-08,1379895.5262699043,7.246925444444135e-06,4398947904,43989479040,291049.736888845,,,,,,,
3004,vit_b_32,256,0.03,0.0,0.0,4,3004_vit_b_32,910.9524636659772,150502.69113707665,0.6682,0.8507,0.6810953400217551,0.8511554940276582,0.6719393531426536,0.8507557393665078,0.9966484823331664,0.9984919180601016,10,SGD,0.8597,0.3047800015383195,0.6150844973585738,137100797.2796796,7.293903608452721e-09,7.293903608452721e-10,13710079.72796796,7.29390360845272e-08,1371007.9727967961,7.29390360845272e-06,4398947904,43989479040,292283.67086097307,,,,,,,
3005,vit_b_32,256,0.03,0.0,0.0,5,3005_vit_b_32,906.4960250149016,150175.31595988284,0.6586,0.8578,0.6701707100515242,0.8582169484561579,0.6632947115070301,0.8584322412272111,0.996551511584952,0.9985636348780906,10,SGD,0.8621,0.2917517409370508,0.6310516339317683,136133326.97299072,7.345739814310152e-09,7.345739814310151e-10,13613332.697299069,7.345739814310154e-08,1361333.269729907,7.3457398143101534e-06,4398947904,43989479040,292920.8356168943,,,,,,,
3006,vit_b_32,256,0.03,0.0,0.0,6,3006_vit_b_32,912.1561420500512,150607.83873449342,0.6725,0.8566,0.6896267191142642,0.8582994061125007,0.6747355967774663,0.8562282847247422,0.996691917168786,0.9985515142656608,10,SGD,0.8626,0.3118896242996486,0.6286036912684208,137377865.14255178,7.279193041486983e-09,7.279193041486983e-10,13737786.51425518,7.279193041486982e-08,1373778.6514255179,7.279193041486982e-06,4398947904,43989479040,292079.6115901315,,,,,,,
3007,vit_b_32,256,0.03,0.0,0.0,7,3007_vit_b_32,905.0654454160248,150087.137580513,0.6557,0.8566,0.6688092501635929,0.8564393656349555,0.6586235026564597,0.8565631693502843,0.996522219822814,0.9985515141521684,10,SGD,0.8648,0.2878270892666018,0.6274867538023151,135838682.0255232,7.361673310494183e-09,7.361673310494183e-10,13583868.202552319,7.361673310494184e-08,1358386.8202552318,7.361673310494184e-06,4398947904,43989479040,293092.9308742544,,,,,,,
3008,vit_b_32,256,0.03,0.0,0.0,8,3008_vit_b_32,899.2873325290857,149249.09099227248,0.6472,0.8619,0.6562854322452377,0.8605960530928759,0.644368837434531,0.8603167009274452,0.9964363607911324,0.9986050493913132,10,SGD,0.8648,0.2727189831347615,0.6372477960693372,134217816.9208315,7.450575660829373e-09,7.450575660829373e-10,13421781.692083152,7.450575660829373e-08,1342178.1692083152,7.450575660829372e-06,4398947904,43989479040,294738.6730970281,,,,,,,
