unique_id,exp_id,batch_size,lr,epochs,optimizer,project,source_file,model,duration,total_energy_J,accuracy_0,accuracy,precision_0,precision,recall_0,recall,specificity_0,specificity,test_accuracy,Pg_0,Pg,weight_decay,dropout,duration_minus_load,energy_minus_load,n_samples,rate,tot_samples,SPJ,EDP,EDPinv,EDPinv_per_epoch,EEDP,EEDPinv
3219_vit_b_32,3219,96,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,913.7229728489184,151414.5388426686,0.7323,0.859,0.7549085980422983,0.8589551504679338,0.7349409068901593,0.8589543988234984,0.9972959576374214,0.9985757565441776,0.863,0.4051910888406152,0.6328703917944043,0.0,0.0,912.5987530536174,151339.94297712352,48000,8,480000,3.171667641453761,138112643.24812847,7.240466741364395e-09,7.240466741364394e-10,13811264.32481285,7.240466741364395e-08
3221_vit_b_32,3221,156,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,904.540835649008,148601.55233395225,0.7312,0.8634,0.7411440028349037,0.8618362395953109,0.729551085275612,0.862063102273094,0.9972848464131095,0.9986202009673764,0.8635,0.3942881358964344,0.6405841671105719,0.0,0.0,903.4166158537072,148526.95646840715,48000,8,480000,3.2317365912099585,134181720.37573926,7.452579957983644e-09,7.452579957983645e-10,13418172.037573924,7.452579957983647e-08
32210_vit_b_32,32210,156,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,917.8843699460848,150699.15806534712,0.7209,0.8532,0.7293702456715971,0.8528605832283707,0.719285970231679,0.8523330552694743,0.9971808058428382,0.9985171705400524,0.8607,0.3771365013520912,0.6192895601721522,0.0,0.0,916.7601501507838,150624.56219980202,48000,8,480000,3.186731254118333,138086596.25868657,7.2418324956510284e-09,7.241832495651026e-10,13808659.625868658,7.241832495651028e-08
32211_vit_b_32,32211,156,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,919.9849882051348,151088.33547334655,0.7053,0.864,0.7272081522552116,0.8642121633326024,0.7075531999180518,0.864602593384594,0.9970232295164364,0.9986262613309648,0.8623,0.3618236905730543,0.6446940076901104,0.0,0.0,918.8607684098338,151013.73960780146,48000,8,480000,3.1785187311208265,138760600.816467,7.206656602205546e-09,7.206656602205544e-10,13876060.0816467,7.206656602205546e-08
32212_vit_b_32,32212,156,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,903.5799577389844,148777.14121255692,0.7417,0.8576,0.7571426382782951,0.8579983442820412,0.7424514656174622,0.8582894203757613,0.9973909068179012,0.998561614908514,0.8619,0.415852633774748,0.6306375828742883,0.0,0.0,902.4557379436834,148702.54534701182,48000,8,480000,3.2279205367996453,134197465.2952416,7.451705572828417e-09,7.451705572828416e-10,13419746.52952416,7.45170557282842e-08
32213_vit_b_32,32213,156,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,905.1337228489574,149346.156795822,0.7153,0.8557,0.731164031101319,0.8561752882396415,0.7166604309012173,0.8564418601850232,0.9971242402797638,0.9985424231554968,0.8643,0.3737366978986225,0.6265397469877843,0.0,0.0,904.0095030536564,149271.5609302769,48000,8,480000,3.2156158682108424,134942909.61662322,7.4105412640132745e-09,7.410541264013273e-10,13494290.961662322,7.410541264013275e-08
32214_vit_b_32,32214,156,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,909.0356497799512,149614.07223271104,0.7384,0.8561,0.7500733573253897,0.8553227770687983,0.7384547130067858,0.8561243228502284,0.9973575735876372,0.9985464634528324,0.8613,0.407915477561611,0.6259788328145178,0.0,0.0,907.9114299846502,149539.47636716595,48000,8,480000,3.209854759832452,135768599.82766944,7.365473322029512e-09,7.365473322029511e-10,13576859.982766945,7.365473322029514e-08
32215_vit_b_32,32215,156,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,920.0314995869994,150825.54330387505,0.7128,0.8558,0.7204858676586305,0.8563393468401185,0.7122108124517652,0.855654396757479,0.9970989877557536,0.9985434332673389,0.8625,0.3647035540734223,0.6261574147673782,0.0,0.0,918.9072797916984,150750.94743832995,48000,8,480000,3.1840595907124305,138526143.03657708,7.218853987264739e-09,7.218853987264738e-10,13852614.303657709,7.218853987264739e-08
3222_vit_b_32,3222,156,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,922.9970392060932,150987.76152682464,0.7376,0.8598,0.7407982892057586,0.8596173187252013,0.7387018976219167,0.8594670860965415,0.9973494926450336,0.9985838371525676,0.8668,0.4025663449500898,0.6343316477531721,0.0,0.0,921.8728194107922,150913.16566127955,48000,8,480000,3.1806370100097614,139122745.51437172,7.187897250753273e-09,7.187897250753275e-10,13912274.551437171,7.187897250753274e-08
3223_vit_b_32,3223,156,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,922.4503253661096,151244.2121819184,0.7247,0.8591,0.7367981428282725,0.8586747355919495,0.724928626793321,0.8587941139005169,0.9972191893682392,0.9985767663711764,0.8609,0.3860047605559225,0.6326200038168985,0.0,0.0,921.3261055708086,151169.6163163733,48000,8,480000,3.1752412402465744,139276513.8813976,7.179961445987661e-09,7.17996144598766e-10,13927651.38813976,7.17996144598766e-08
3224_vit_b_32,3224,156,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,899.9004225709941,148114.085671683,0.7319,0.8535,0.7478555204785787,0.8530955062395178,0.7338480766147363,0.853527940193661,0.9972919171594992,0.9985202009096108,0.8619,0.4005879769968185,0.6205485675702682,0.0,0.0,898.7762027756932,148039.4898061379,48000,8,480000,3.242378102144058,133054370.50881156,7.515724558132984e-09,7.515724558132982e-10,13305437.050881157,7.515724558132983e-08
3225_vit_b_32,3225,156,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,903.5868045249954,149152.669346682,0.7329,0.8609,0.7450684639111315,0.861910120927916,0.7357193249328945,0.8618201266837079,0.9973020174116598,0.9985949480417892,0.8611,0.4006634853316359,0.6385878997689926,0.0,0.0,902.4625847296944,149078.0734811369,48000,8,480000,3.2197893948551406,134537383.52031013,7.432878311098099e-09,7.432878311098098e-10,13453738.352031017,7.432878311098098e-08
3226_vit_b_32,3226,156,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,919.4745600379538,150502.6197892296,0.7292,0.8563,0.738551106477934,0.8571014937452276,0.7300601360164944,0.8561654620582569,0.997264644791778,0.9985484839607774,0.861,0.3920994839690572,0.6274585722522166,0.0,0.0,918.3503402426528,150428.0239236845,48000,8,480000,3.1908948045712195,138145626.95234558,7.238738004677903e-09,7.238738004677903e-10,13814562.695234558,7.238738004677905e-08
3227_vit_b_32,3227,156,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,918.9632774798664,150440.34502387658,0.7217,0.8567,0.7331206701986963,0.8562852448887345,0.7223521912782235,0.8566536743730958,0.9971888869494312,0.9985525242538752,0.8646,0.3811172396520865,0.6275140055148469,0.0,0.0,917.8390576845654,150365.74915833148,48000,8,480000,3.1922163304262305,138011557.5155167,7.2457699775438714e-09,7.24576997754387e-10,13801155.751551673,7.24576997754387e-08
3228_vit_b_32,3228,156,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,914.4065803389532,150061.65450218783,0.7291,0.863,0.7354261731368916,0.8617096956690402,0.7270089220873119,0.8612605932843271,0.997263634178905,0.9986161605112956,0.8613,0.3887549244620778,0.6395948259138742,0.0,0.0,913.2823605436522,149987.05863664273,48000,8,480000,3.200276106239563,136980534.96267226,7.3003073047751205e-09,7.30030730477512e-10,13698053.496267226,7.30030730477512e-08
3229_vit_b_32,3229,156,0.03,10,SGD,25_04,project_25_04conf.csv,vit_b_32,919.3896389137954,150802.41185910793,0.7177,0.8581,0.7345804962550322,0.8585389691819418,0.719844379557102,0.8580270497642575,0.9971484827831308,0.9985666656285024,0.8637,0.378425845896971,0.6312130342530367,0.0,0.0,918.2654191184944,150727.81599356284,48000,8,480000,3.1845482324277787,138408141.1261443,7.225008528137129e-09,7.225008528137131e-10,13840814.112614429,7.225008528137131e-08
3231_vit_small_patch32_224,3231,96,0.03,10,SGD,25_04,project_25_04conf.csv,vit_small_patch32_224,651.6273173869122,78530.10484111957,0.8274,0.8814,0.8337236186876233,0.8806998293290819,0.827790441069747,0.8805229749694238,0.998256564326275,0.998802019287927,0.8812,0.5700332689297878,0.6826861030088588,0.0,0.0,650.9950139409242,78490.79001196995,48000,8,480000,6.115367165075028,51097112.93807653,1.957057732815312e-08,1.957057732815312e-09,5109711.293807653,1.9570577328153122e-07
32310_vit_small_patch32_224,32310,96,0.03,10,SGD,25_04,project_25_04conf.csv,vit_small_patch32_224,651.7828036111314,78788.38781586132,0.8291,0.8799,0.8412514209659047,0.8789961175275158,0.8279574314968409,0.8795646782386554,0.9982737360033718,0.998786867723844,0.8805,0.5764881436150805,0.6794552811242878,0.0,0.0,651.1505001651434,78749.0729867117,48000,8,480000,6.0953098467711015,51277498.26283871,1.950173143927947e-08,1.950173143927947e-09,5127749.826283872,1.9501731439279465e-07
32311_vit_small_patch32_224,32311,96,0.03,10,SGD,25_04,project_25_04conf.csv,vit_small_patch32_224,645.5809826171026,78389.5053492306,0.8338,0.8808,0.8443541926902114,0.8813199584035067,0.8353417910339179,0.8816911805323733,0.9983212105382822,0.9987959584606692,0.8818,0.5871121425459472,0.6836033529741623,0.0,0.0,644.9486791711146,78350.19052008099,48000,8,480000,6.126341197306688,50531851.88873141,1.9789498358420542e-08,1.978949835842054e-09,5053185.188873142,1.9789498358420532e-07
