exp_id,model,epoch,epoch_label,lr,dropout,weight_decay,optimizer,batch_size,val_accuracy,val_recall,val_precision,val_specificity,val_f1,Pg,energy_J,duration_s,SPJ,FPJ,EDP_inv,Eg,perfJ
751,vit_tiny_patch16_224,1,epoch_1,0.03,0.0,0.0,SGD,128,0.7836,0.7839145833399964,0.7937615654902966,0.9978141397462681,0.7809404262751454,0.48652245693865737,9155.332977817094,71.64927111193538,5.2428459037264465,128714.85929078382,1.5244531400325634e-06,1.0287500247916208,5.314088063399513e-05
751,vit_tiny_patch16_224,10,epoch_10,0.03,0.0,0.0,SGD,128,0.8617,0.8608728176084007,0.8606703034107162,0.9986030292371021,0.860031343476742,0.6375654662057884,90410.17977871977,709.0777295997832,5.3091366611017365,130342.33521979695,1.5598714944182707e-08,0.010794392952982627,7.051921230178273e-06
752,vit_tiny_patch16_224,1,epoch_1,0.03,0.0,0.0,SGD,128,0.7829,0.7827638095679952,0.7928381060464537,0.9978070688004452,0.7811096374800419,0.4848061528442642,9064.020550992074,71.40939053613693,5.295663191622652,130011.55385410273,1.5449833091112526e-06,1.0637169917231346,5.348687705603241e-05
752,vit_tiny_patch16_224,10,epoch_10,0.03,0.0,0.0,SGD,128,0.8638,0.8643478946798042,0.8628740189621125,0.9986242412281007,0.8629912141082184,0.643355880667836,89965.37095197497,702.1858650522772,5.335386214949662,130986.77674869639,1.58296948158936e-08,0.011062820348276329,7.151150202129108e-06
753,vit_tiny_patch16_224,1,epoch_1,0.03,0.0,0.0,SGD,128,0.7767,0.776497610113293,0.7900120371673341,0.9977444423753281,0.7748328313815763,0.475386073071365,9053.94826018805,71.44741267990321,5.301554484364045,130156.18845335925,1.5458789564909113e-06,1.066703048906185,5.250594098949393e-05
753,vit_tiny_patch16_224,10,epoch_10,0.03,0.0,0.0,SGD,128,0.8641,0.8634588592178516,0.8634022078248571,0.9986272714680119,0.8624851471297069,0.6433128579970215,94843.92356881314,688.3702029071283,5.060946257160485,124249.11914836618,1.531681352740585e-08,0.009631489802595587,6.7828579184650845e-06
761,vit_tiny_patch16_224,1,epoch_1,0.03,0.0,0.0,SGD,256,0.7122,0.7113015339585327,0.7178866849617791,0.9970929270747505,0.7078132842965714,0.3626162384578444,10159.99473523828,70.68725666287355,4.724411896939262,115987.00852794906,1.3924044092178827e-06,0.7629964052300268,3.569059314570009e-05
761,vit_tiny_patch16_224,10,epoch_10,0.03,0.0,0.0,SGD,256,0.8623,0.8614014862993887,0.8611450444339903,0.9986090898477871,0.8605996625397903,0.6387572235684251,102987.87035761801,706.6341422100086,4.660743040255462,114423.90175736183,1.374103054728965e-08,0.007328097138872474,6.2022568419988335e-06
762,vit_tiny_patch16_224,1,epoch_1,0.03,0.0,0.0,SGD,256,0.7136,0.7142576233896792,0.7174619738060362,0.9971070681918358,0.7097318231222447,0.36462833016196977,10311.842844617628,71.75034816400148,4.654842080439006,114279.02982589502,1.3515736042723106e-06,0.7189707099858589,3.5360151978294675e-05
762,vit_tiny_patch16_224,10,epoch_10,0.03,0.0,0.0,SGD,256,0.8659,0.8662070780697587,0.8658868973975108,0.9986454533677553,0.8653702325472815,0.6485776291814729,102368.53349724307,702.5068596510682,4.688940864947792,115116.17444746697,1.3905382798435018e-08,0.0075057492796138355,6.335712811583259e-06
