unique_id,exp_id,batch_size,lr,epochs,optimizer,model,duration,total_energy_J,accuracy_0,accuracy,precision_0,precision,recall_0,recall,specificity_0,specificity,test_accuracy,Pg_0,Pg,weight_decay,dropout,n_samples,rate,tot_samples
3904_vit_b_32,3904,128,0.03,10,SGD,vit_b_32,967.2291827669832,161491.37841446075,0.7538,0.8582,0.7655921146748258,0.8577116574502404,0.7537997567606665,0.858214945938399,0.9975131274541444,0.998567674545076,0.8624,0.4339385141580592,0.6308170157905711,0.0,0.0,54000,09,540000
3905_vit_b_32,3905,128,0.03,10,SGD,vit_b_32,940.5924242750044,158565.64328777988,0.7512,0.8608,0.7605695513862032,0.8647239591684168,0.7541593728090835,0.8622358959373214,0.997486863613463,0.9985939365554424,0.8663,0.4297984372003444,0.6409066449574715,0.0,0.0,54000,09,540000
3906_vit_b_32,3906,128,0.03,10,SGD,vit_b_32,941.6590153160504,158617.95679415087,0.7514,0.8644,0.7646532157368513,0.8635824060330265,0.751091443908879,0.8630732150765106,0.9974888848059998,0.9986303008032726,0.8644,0.4304637549222647,0.6433849862648674,0.0,0.0,54000,09,540000
3907_vit_b_32,3907,128,0.03,10,SGD,vit_b_32,958.9784318869932,160617.27644892936,0.7208,0.8624,0.7481749748265891,0.8630957231882117,0.722060673968427,0.8634002179225222,0.9971797942761412,0.998610099184803,0.868,0.3882979680735104,0.6417646926338199,0.0,0.0,54000,09,540000
3908_vit_b_32,3908,128,0.03,10,SGD,vit_b_32,952.0619982579956,160043.24997452338,0.7534,0.8714,0.7663114135478487,0.8702911413496862,0.7504785768002397,0.8687274981715071,0.997509087339679,0.9987010082395892,0.8683,0.4322013012400217,0.65796255051367,0.0,0.0,54000,09,540000
3909_vit_b_32,3909,128,0.03,10,SGD,vit_b_32,954.1270746279624,160106.8128164694,0.7414,0.8594,0.7439323996583899,0.8583799815686401,0.7419718568860755,0.859019382736707,0.9973878739845664,0.9985797953682524,0.8651,0.4081667014477222,0.6327915453990169,0.0,0.0,54000,09,540000
3911_vit_b_32,3911,128,0.03,10,SGD,vit_b_32,883.1845078790211,142182.4957467221,0.7211333333333333,0.8536,0.728587684641464,0.852906033050271,0.7203354790973887,0.8532298887781602,0.997183163754844,0.9985212114763656,0.8602,0.3774045571247241,0.6202673887558028,0.0,0.0,42000,07,420000
39110_vit_b_32,39110,128,0.03,10,SGD,vit_b_32,891.6578327330062,143315.2515051972,0.7203333333333334,0.8536666666666667,0.7348117698636021,0.8527329615900581,0.7210202217654998,0.8531880437879564,0.9971750828222282,0.9985218848140144,0.8575,0.3805646800331356,0.6201599598795143,0.0,0.0,42000,07,420000
39111_vit_b_32,39111,128,0.03,10,SGD,vit_b_32,886.5257633529836,142884.18230320007,0.7138666666666666,0.8581333333333333,0.7292863744387461,0.8584491204792151,0.7149699187623466,0.8585386575828897,0.9971097626680384,0.9985670025530256,0.8571,0.3711469887879771,0.6315480489773257,0.0,0.0,42000,07,420000
39112_vit_b_32,39112,128,0.03,10,SGD,vit_b_32,889.3327831670176,143296.37425169893,0.7246,0.8543333333333333,0.741881219993412,0.8546205553515791,0.7250266544246275,0.8545848120873726,0.997218180565402,0.9985286188659896,0.854,0.3886662837343895,0.6230406351814896,0.0,0.0,42000,07,420000
39113_vit_b_32,39113,128,0.03,10,SGD,vit_b_32,882.6566430649837,142470.60594808322,0.7242,0.8544,0.7406047698731585,0.8543399370896259,0.7237826493414012,0.8545236770906496,0.997214140327219,0.998529292355486,0.8593,0.387116445369663,0.6228405196580449,0.0,0.0,42000,07,420000
39114_vit_b_32,39114,128,0.03,10,SGD,vit_b_32,888.1975920010009,142956.62820428255,0.7340666666666666,0.8511333333333333,0.7413729863053146,0.8506407086748048,0.7339122168877091,0.8509984773462768,0.997313803417867,0.998496295570844,0.8577,0.3983347619194228,0.6152037910001089,0.0,0.0,42000,07,420000
39115_vit_b_32,39115,128,0.03,10,SGD,vit_b_32,888.6348598640179,142857.80331628644,0.7253333333333334,0.8498666666666667,0.7350034263582798,0.8512816641930929,0.7265680322806106,0.8503165731979743,0.997225588125806,0.998483501082358,0.857,0.3862750873140582,0.6142506316753457,0.0,0.0,42000,07,420000
3912_vit_b_32,3912,128,0.03,10,SGD,vit_b_32,891.8017141260207,143221.9145369159,0.7301333333333333,0.8562666666666666,0.7443949183811863,0.8559844277992006,0.7310660976192978,0.856371327757734,0.997274073028898,0.998548147591478,0.8625,0.3962568188866311,0.6267668673729524,0.0,0.0,42000,07,420000
3913_vit_b_32,3913,128,0.03,10,SGD,vit_b_32,877.3902099470142,141744.30817804812,0.7186,0.8566,0.7399144917324165,0.8554845381809523,0.7187810887579402,0.8555145848530548,0.9971575743889668,0.998551514454079,0.8589,0.381091428688685,0.6260198831811247,0.0,0.0,42000,07,420000
3914_vit_b_32,3914,128,0.03,10,SGD,vit_b_32,891.6579224219895,143242.01352178812,0.7217333333333333,0.852,0.7375839609077132,0.8525272141372591,0.723380441796418,0.8524824480912748,0.9971892242917222,0.9985050498149556,0.8523,0.384001187342323,0.6182776644079452,0.0,0.0,42000,07,420000
3915_vit_b_32,3915,128,0.03,10,SGD,vit_b_32,880.3653142590192,141951.95624104884,0.7232,0.8550666666666666,0.7358390688703018,0.8556599869777949,0.7240962595687622,0.85548008863415,0.9972040389761734,0.9985360261883914,0.8562,0.3842568277291284,0.6249925554946492,0.0,0.0,42000,07,420000
